x1,x2,x3,x4,x5,x6,y,,,,,,
epoxy,c,0.56,400,30,45,7.46E-05,,,,,,
epoxy,c,0.56,400,45,45,0.000136585,,,,,,
epoxy,c,0.56,400,60,45,0.000239657,,,,,,
epoxy,c,0.56,400,75,45,0.000193496,,,,,,
epoxy,c,0.56,400,90,45,0.000130894,,,,,,
epoxy,c,0.56,400,15,45,1.39E-05,,,,,,
epoxy,c,0.56,400,30,45,5.63E-05,,,,,,
epoxy,c,0.56,400,45,45,0.000119512,,,,,,
epoxy,c,0.56,400,60,45,0.000221951,,,,,,
epoxy,c,0.56,400,75,45,0.000139115,,,,,,
epoxy,c,0.56,400,90,45,0.000111292,,,,,,
epoxy,c,0.56,400,15,45,1.07E-05,,,,,,
epoxy,c,0.56,400,30,45,3.67E-05,,,,,,
epoxy,c,0.56,400,45,45,9.55E-05,,,,,,
epoxy,c,0.56,400,60,45,0.000172629,,,,,,
epoxy,c,0.56,400,75,45,0.000110659,,,,,,
epoxy,c,0.56,400,90,45,9.30E-05,,,,,,
epoxy,g,0.56,400,15,45,8.10E-06,,,,,,
epoxy,g,0.56,400,30,45,5.67E-05,,,,,,
epoxy,g,0.56,400,45,45,0.000149767,,,,,,
epoxy,g,0.56,400,60,45,0.000255819,,,,,,
epoxy,g,0.56,400,75,45,0.000202388,,,,,,
epoxy,g,0.56,400,90,45,0.000176483,,,,,,
epoxy,g,0.56,400,15,45,2.75E-05,,,,,,
epoxy,g,0.56,400,30,45,7.61E-05,,,,,,
epoxy,g,0.56,400,45,45,0.000223437,,,,,,
epoxy,g,0.56,400,60,45,0.000276867,,,,,,
epoxy,g,0.56,400,75,45,0.0002542,,,,,,
epoxy,g,0.56,400,90,45,0.000222627,,,,,,
epoxy,g,0.56,400,15,45,4.21E-05,,,,,,
epoxy,g,0.56,400,30,45,0.000106051,,,,,,
epoxy,g,0.56,400,45,45,0.000246104,,,,,,
epoxy,g,0.56,400,60,45,0.000297916,,,,,,
epoxy,g,0.56,400,75,45,0.000284963,,,,,,
epoxy,g,0.56,400,90,45,0.000260676,,,,,,
polyetherimide,n,0,113,15,26.88,0.0000326,,,,,,
polyetherimide,n,0,113,30,26.88,0.0000231,,,,,,
polyetherimide,n,0,113,45,26.88,0.0000177,,,,,,
polyetherimide,n,0,113,60,26.88,0.0000148,,,,,,
polyetherimide,n,0,113,75,26.88,0.0000128,,,,,,
polyetherimide,n,0,113,90,26.88,0.0000078,,,,,,
polyetherimide,c,0.4,113,30,26.88,0.0001272,,,,,,
polyetherimide,c,0.4,113,45,26.88,0.000099,,,,,,
polyetherimide,c,0.4,113,60,26.88,0.0000744,,,,,,
polyetherimide,c,0.4,113,90,26.88,0.0000518,,,,,,
