A,B,C,erosion rate,,,,,
550,70,60,10.151,,,,,
550,70,60,10.158,,,,,
750,70,60,15.463,,,,,
450,85,45,10.395,,,,,
550,70,30,11.269,,,,,
650,55,75,12.539,,,,,
350,70,60,7.936,,,,,
550,70,60,10.148,,,,,
550,100,60,18.095,,,,,
650,85,75,14.503,,,,,
550,40,60,9.523,,,,,
550,70,90,8.573,,,,,
450,55,45,6.14,,,,,
550,70,60,10.143,,,,,
550,70,60,10.156,,,,,
450,55,75,5.654,,,,,
550,70,60,10.139,,,,,
450,85,75,8.746,,,,,
650,55,45,14.601,,,,,
650,85,45,16.269,,,,,
